"CUSEC";"longitude";"latitude";"tot_pob"
"1503101005";-8,36432871188121;43,3150709261865;1639
"1503101006";-8,36975400996325;43,3150389173054;666
"1503101007";-8,36416335682366;43,3178497305391;1854
"1503102001";-8,37879665473998;43,3247894943393;1764
"1503102002";-8,38604577502417;43,3192850119825;2137
"1503102003";-8,37911177733173;43,3085373184614;1106
"1503102004";-8,40268877778676;43,3119094968737;2347
"1503102005";-8,38114167006541;43,3206172781101;2121
"1503102006";-8,38617612163506;43,3087605680035;1550
"1503102007";-8,38069698376713;43,3277321461917;1797
"1503102008";-8,3762063424109;43,3178205752035;845
"1503102009";-8,38693483417311;43,3235947055002;1319
"1503103001";-8,39151270543378;43,2934743973605;1462
"1503103002";-8,41958691012684;43,2637100406183;1638
"1503103003";-8,40575008598568;43,2438888728074;1127
"1503103004";-8,42565706767834;43,2864748651556;1047
"1503201001";-8,00889189205295;43,1357302766624;712
"1503201002";-8,02338893040316;43,1554355683726;1550
"1503202001";-8,11195423845915;43,1253101160295;1819
"1503301001";-8,68206271389555;42,7260027125885;1131
"1503301003";-8,74399419138989;42,7156229963976;894
"1503301004";-8,7081079454079;42,732008617109;685
"1503401001";-9,0950155048145;43,013560147903;862
"1503401002";-9,11760094004385;42,9272183839796;601
"1503402001";-9,03613909755044;42,9862121531043;687
"1503402002";-9,1295498683509;42,9766682664733;777
"1503501001";-8,15665602265966;43,465757289194;568
"1503501002";-8,16465389228943;43,4792510927317;1495
"1503501003";-8,13787652795049;43,4679023142299;1405
"1503501004";-8,16985641321903;43,467643290422;1297
"1503501005";-8,17903500357922;43,4749206444244;1079
"1503501006";-8,17315069657014;43,4778120820174;1310
"1503501007";-8,16480583404308;43,4744507915008;1583
"1503501008";-8,16938303712672;43,4723827914081;805
"1503502001";-8,17921563213746;43,4588908160224;1519
"1503502002";-8,19652537476763;43,4547761143817;1041
"1503502003";-8,18766683027942;43,438669438036;730
"1503601001";-8,22445050293325;43,4800552728695;727
"1503601002";-8,22480000770356;43,4826026137283;1517
"1503601003";-8,22688006636866;43,4848487097661;1718
"1503601004";-8,22526336345525;43,4858211630277;764
"1503601005";-8,2240708796398;43,4868549718529;903
"1503601006";-8,22150860336059;43,4852420157035;1802
"1503602001";-8,23084157745903;43,4833276407927;1400
"1503602003";-8,23144485770429;43,4853002733837;838
"1503602004";-8,23348836062902;43,4864706990793;1228
"1503602005";-8,23013863008298;43,4892789023201;1369
"1503602006";-8,22769376036682;43,4872079633629;703
"1503602008";-8,22453960567205;43,4887158061337;1091
"1503602009";-8,2250451520629;43,4905387448152;789
"1503602010";-8,22349002090136;43,4913348695431;1403
"1503602011";-8,2210037292285;43,4925257106434;1111
"1503602012";-8,22006612175703;43,4913692290341;1248
"1503602013";-8,21916953396525;43,4905753741366;1039
"1503602014";-8,22001190960775;43,4893326834704;1169
"1503602015";-8,22037766619439;43,4877054973267;1287
"1503602016";-8,21821688538669;43,4888188338908;1055
"1503603001";-8,23397230294294;43,4833374331577;588
"1503603002";-8,2352278102379;43,4850039197718;644
"1503603003";-8,23663921082836;43,4866202538691;997
"1503603004";-8,23854143863362;43,4880522368823;1104
"1503604001";-8,23822250556995;43,4795415328856;771
"1503604002";-8,23751980132857;43,4828073094133;727
"1503604003";-8,23859792439628;43,4839842043732;903
"1503605001";-8,24210693003229;43,4807887253762;919
"1503605002";-8,24142412158808;43,4826931907292;1293
"1503605003";-8,24364211482223;43,4855966769297;1051
"1503605004";-8,24669834155293;43,4809288834768;1036
"1503606001";-8,22397861930165;43,4804963656617;1527
"1503606002";-8,21213773632436;43,4848017669473;703
"1503606003";-8,20844267619709;43,4855668338227;912
"1503606004";-8,20516913479505;43,4851129127757;1051
"1503606005";-8,20260700566666;43,4843762269816;710
"1503606006";-8,20119223144676;43,4826661302414;1266
"1503606008";-8,20879232828749;43,4841987837086;657
"1503606009";-8,20697619028923;43,4827162522038;925
"1503606011";-8,20647613381688;43,4809681431176;676
"1503606012";-8,20408973385661;43,4799375007126;845
"1503606013";-8,20393950602378;43,4785091017956;908
"1503606014";-8,21546983547365;43,4898186997291;1172
"1503606015";-8,20417447695715;43,4868667378327;984
"1503606017";-8,21068916133657;43,4924182518448;1215
"1503607001";-8,21739748764765;43,4927638455031;1470
"1503607002";-8,21549465107705;43,492619282512;988
"1503607003";-8,21190532375661;43,4939583722753;1942
"1503607004";-8,21273752883081;43,4974325649423;883
"1503607005";-8,20633498159867;43,5124573448615;1269
"1503607006";-8,22051263451623;43,506103830294;1527
"1503607008";-8,22533817309161;43,497018894948;1300
"1503607009";-8,22471218235245;43,4941113413688;599
"1503608001";-8,23836424971059;43,4938009890577;1299
"1503608002";-8,23315700081884;43,5060185013871;1169
"1503608003";-8,25778559582812;43,5089312167681;982
"1503608004";-8,26318550093421;43,492669792875;752
"1503608005";-8,28185305325797;43,4750677163926;735
"1503608006";-8,30842723011316;43,484612708506;818
"1503608007";-8,29503854817105;43,5178372020745;740
"1503608008";-8,29073405211806;43,5501872894807;883
"1503608009";-8,24378631404008;43,5329670024281;684
"1503701001";-9,26911001226725;42,9106135060779;1283
"1503701002";-9,27085534648677;42,9044898654965;763
"1503701003";-9,2711473596957;42,8938114910754;793
"1503701004";-9,26752173974258;42,9335811277572;1164
"1503701005";-9,24920862225753;42,9561014461733;711
"1503801001";-8,25118557955232;43,0405752166291;1174
"1503802001";-8,30831056872558;43,0502813364901;1132
"1503901001";-8,06990393755462;43,2853545022154;1340
"1504001001";-9,00940782407378;43,2223211725815;1685
"1504002001";-9,01990789287995;43,1855008448127;1319
"1504101001";-8,62114124072971;43,2486983143552;1124
"1504101002";-8,60504588597886;43,309755524334;834
"1504101003";-8,52453541961915;43,2469769927155;722
"1504101004";-8,56242732013638;43,1996581236284;1243
"1504101005";-8,61900097627226;43,2685592598696;602
"1504101006";-8,56146171399451;43,2527842741648;1347
"1504101008";-8,49163108331465;43,2259829427915;806
"1504101009";-8,58247946434218;43,2575018483118;1292
"1504101010";-8,60346057006945;43,230176842321;794
"1504101011";-8,59101329777417;43,2486436413043;1181
"1504101012";-8,57666011191047;43,2419283867859;1576
"1504201001";-8,8472311107564;42,7640165417333;1016
"1504201002";-8,88956623935949;42,7439757157011;1088
"1504202001";-8,8089139261613;42,7751738983226;1131
"1504301001";-8,81144149827156;43,3195285892018;1871
"1504301003";-8,83350616098065;43,3189405154162;1086
"1504301005";-8,87722374978011;43,3062705178372;615
"1504302001";-8,79995829910859;43,2858980073821;1010
"1504302002";-8,7558501364973;43,2777857425125;750
